
2023/11/11 (03:28:41) | ===> btop++ v.1.2.13
2023/11/11 (03:28:41) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2023/12/08 (18:29:34) | ===> btop++ v.1.2.13
2023/12/08 (18:29:34) | INFO: Logger set to INFO
2023/12/08 (18:29:34) | INFO: Logger set to DEBUG
2023/12/08 (18:29:36) | INFO: Logger set to DEBUG
2023/12/08 (18:29:36) | INFO: Logger set to INFO
2023/12/08 (18:29:39) | INFO: Logger set to DEBUG
2023/12/08 (18:29:40) | INFO: Logger set to INFO
